;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
hsa-let-7a-3p;64,50763681;-0,477417659;0,391489273;-1,219491038;0,222657875;0,493961885
hsa-let-7a-5p;40443,76212;0,381729202;0,15016301;2,542098754;0,011018904;0,063261286
hsa-let-7b-3p;67,15853138;0,305583345;0,501680381;0,609119584;0,542445178;0,804631821
hsa-let-7b-5p;8690,40341;0,496765687;0,172043466;2,887442914;0,003883871;0,027595924
hsa-let-7d-3p;1779,284035;0,675021371;0,49556257;1,362131466;0,1731564;0,433136136
hsa-let-7d-5p;8251,562085;0,154107501;0,159388376;0,966867874;0,333610088;0,643442074
hsa-let-7e-3p;2,468785013;-0,979801539;2,352772601;-0,41644549;0,677084047;
hsa-let-7e-5p;932,0370371;0,430459354;0,181808264;2,367655604;0,017901191;0,091194745
hsa-let-7f-1-3p;98,81810228;0,040338137;0,421656002;0,095665986;0,923785856;0,955640541
hsa-let-7f-2-3p;4,158660855;-0,961506101;1,488163984;-0,646102252;0,518213137;0,781837158
hsa-let-7f-5p;22479,14;-0,141553297;0,154498383;-0,916212159;0,359555629;0,655946081
hsa-let-7g-3p;2,591329112;0,38352096;1,78592722;0,214746131;0,829965255;
hsa-let-7g-5p;6956,66422;-0,038507218;0,16519834;-0,233096881;0,815686177;0,91295653
hsa-let-7i-3p;12,74415815;0,292059584;0,729262574;0,400486183;0,688798459;0,847261338
hsa-let-7i-5p;5263,650518;0,102139683;0,173168811;0,589827248;0,555306473;0,812473708
hsa-miR-1-3p;198,9615327;-1,012339187;0,263747403;-3,838290635;0,000123894;0,001787921
hsa-miR-1-5p;0,313438966;0,66696477;5,39771668;0,123564242;0,901660306;
hsa-miR-101-3p;89,30347446;-1,014446182;0,334775268;-3,030230361;0,002443673;0,01885119
hsa-miR-103a-1-5p;1,056774752;-0,656171066;3,253141088;-0,201703845;0,840148256;
hsa-miR-103a-2-5p;8,007448069;-0,441021585;0,895395619;-0,492543828;0,622334947;0,831931032
hsa-miR-103a-3p;1242,768869;-0,13661484;0,184645416;-0,739876691;0,459374819;0,749883544
hsa-miR-106b-3p;83,99301601;0,162259284;0,320975556;0,505519129;0,613194266;0,831931032
hsa-miR-106b-5p;12,83010542;-0,46658255;0,722349861;-0,645923223;0,518329079;0,781837158
hsa-miR-107;67,29267282;0,013877632;0,373183502;0,037187152;0,970335783;0,978140182
hsa-miR-10a-3p;0,833087981;-1,283110705;3,368345001;-0,380932091;0,703253639;
hsa-miR-10a-5p;1,255033882;-1,493276336;3,043137087;-0,490702947;0,623636562;
hsa-miR-1179;1,443859147;-1,227048871;2,407183895;-0,50974455;0,610230438;
hsa-miR-1185-1-3p;6,295158642;4,471381422;1,343205564;3,3288884;0,000871933;0,008118
hsa-miR-1197;0,382981905;4,350954808;5,243713485;0,829746862;0,40668192;
hsa-miR-1226-3p;7,972409567;-0,204142447;0,974205561;-0,20954761;0,834020773;0,918888364
hsa-miR-1227-3p;2,76447197;1,462291788;1,719934553;0,850201995;0,395212793;
hsa-miR-1229-3p;31,45989765;1,081417225;0,567711777;1,904870164;0,056796951;0,221837886
hsa-miR-1236-3p;0,225280309;1,981620537;5,375594027;0,368632848;0,712401408;
hsa-miR-1238-3p;0,088771542;-1,289618019;5,345005177;-0,241275355;0,809341711;
hsa-miR-1238-5p;0,435771573;0,666971476;5,39771668;0,123565484;0,901659322;
hsa-miR-1246;147,1684608;0,050150426;0,455967831;0,109986764;0,912419872;0,951171295
hsa-miR-1249-3p;2,051210814;2,143292291;1,984346191;1,080099985;0,280097659;
hsa-miR-125a-3p;0,938093865;0,548359693;2,759415959;0,1987231;0,842479354;
hsa-miR-125a-5p;187,2276706;-0,006102163;0,282609852;-0,021592182;0,98277327;0,986426702
hsa-miR-125b-5p;9,505093224;0,092327395;0,945500667;0,097649212;0,922210846;0,955640541
hsa-miR-126-3p;7259,140826;-0,747037732;0,166893564;-4,476132666;7,60073E-06;0,000171016
hsa-miR-126-5p;11694,82296;-0,13647718;0,264890308;-0,515221491;0,606398253;0,831931032
hsa-miR-1261;0,469091456;-0,880348763;4,017926767;-0,219105229;0,826568078;
hsa-miR-127-3p;8,394402442;3,524706695;1,038612693;3,393668034;0,000689632;0,006896324
hsa-miR-1271-5p;2,362818336;-1,711355856;1,857542286;-0,921301156;0,356893218;
hsa-miR-1273h-3p;0,929129005;0,736092426;3,05153955;0,241220018;0,809384597;
hsa-miR-1273h-5p;22,5881141;0,079460465;0,575765051;0,138008489;0,890233708;0,94791631
hsa-miR-1277-3p;16,82370555;-0,414497397;0,822063371;-0,504215868;0,614109691;0,831931032
hsa-miR-1281;1,713453721;-1,884966208;2,146381528;-0,8782065;0,379831665;
hsa-miR-1285-5p;6,432862972;0,71649456;1,21903052;0,587757688;0,556694948;0,812473708
hsa-miR-1287-5p;1,635121252;1,666439422;2,456360991;0,678417964;0,497506722;
hsa-miR-1290;37,88603914;1,344883976;0,469138321;2,866710979;0,004147616;0,028714265
hsa-miR-1296-5p;0,958012659;3,345544474;2,780136821;1,203374039;0,22883161;
hsa-miR-1301-3p;8,597689054;0,398135378;1,03217533;0,385724563;0,699700669;0,850987301
hsa-miR-1304-3p;2,676437724;-2,802067662;2,006646321;-1,396393392;0,162596064;
hsa-miR-1304-5p;10,58507042;0,669914821;0,796813054;0,840742778;0,40049205;0,694490288
hsa-miR-1306-5p;82,08981168;0,693665999;0,358425068;1,935316645;0,052951451;0,212397663
