geneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;log10Pval;effect_size;significant;hgnc_symbol;gene_biotype
ENSG00000000003;5,15889084850258;-0,345056770741196;0,612199155008169;-0,563634836667802;0,573002673271582;0,687697529353597;NA;NA;NA;TSPAN6;protein_coding
ENSG00000000419;27,1981914531799;-0,776116204407891;0,232150453653219;-3,34316040393028;0,00082830006286447;0,00235489793657432;NA;NA;NA;DPM1;protein_coding
ENSG00000000457;35,7812268523109;-0,673481998226228;0,180468119035599;-3,7318613493909;0,000190070114618995;0,000607541080967598;NA;NA;NA;SCYL3;protein_coding
ENSG00000000460;276,109627021234;-0,421042059446281;0,0992283665090659;-4,24316225550093;2,20391966235799e-05;8,14021188361303e-05;NA;NA;NA;C1orf112;protein_coding
ENSG00000000938;18,7420020340524;1,79194385949496;0,341565660549132;5,24626467606276;1,55213878631916e-07;7,45006181109479e-07;NA;NA;NA;FGR;protein_coding
ENSG00000000971;1,73617820573923;-0,543030865839022;1,38685723486152;-0,391554986475044;0,695387052882393;NA;NA;NA;NA;CFH;protein_coding
ENSG00000001036;96,6616049845569;0,346735059526025;0,15148134383611;2,28896213055228;0,0220815527793112;0,0455693748411995;NA;NA;NA;FUCA2;protein_coding
ENSG00000001084;5,77452903674987;0,840377224432044;0,625828930511251;1,34282258850757;0,179329427299923;0,277354319733319;NA;NA;NA;GCLC;protein_coding
ENSG00000001167;76,9146917937001;0,876198441828407;0,169324871998185;5,17465881703308;2,28327823486047e-07;1,07750042785551e-06;NA;NA;NA;NFYA;protein_coding
ENSG00000001460;19,2052644562119;-0,309201282781707;0,323627773666093;-0,955422580945508;0,339364039227358;0,463265907134744;NA;NA;NA;STPG1;protein_coding
ENSG00000001461;705,134448939018;0,543790804852127;0,0749001242074507;7,26021232416105;3,8648317517506e-13;3,25574677088546e-12;NA;NA;NA;NIPAL3;protein_coding
ENSG00000001497;4,85823352021758;0,0187789378243509;0,618972175387447;0,0303389046730512;0,975796769400434;0,984846933236236;NA;NA;NA;LAS1L;protein_coding
ENSG00000001561;80,161122266083;-0,177316446223686;0,13598425446845;-1,30394836458676;0,192251188413296;0,293550453344784;NA;NA;NA;ENPP4;protein_coding
ENSG00000001617;0,370623847254081;-1,34789438274043;2,95362125401651;-0,45635315662341;0,648136044883773;NA;NA;NA;NA;SEMA3F;protein_coding
ENSG00000001626;0,829886765002307;-1,08087111566647;2,94951383974819;-0,366457380569113;0,714023809407636;NA;NA;NA;NA;CFTR;protein_coding
ENSG00000001629;642,57866255452;-0,65810088706604;0,07325888022013;-8,98322340020164;2,62947912745718e-19;4,21352358643743e-18;NA;NA;NA;ANKIB1;protein_coding
ENSG00000001630;38,8610890803255;-0,333814351752659;0,191872768991704;-1,7397692935108;0,0818995363357754;0,143730778535116;NA;NA;NA;CYP51A1;protein_coding
ENSG00000001631;224,87355960168;-1,09835248840942;0,222165115734053;-4,94385666615736;7,65920257977779e-07;3,4040381596562e-06;NA;NA;NA;KRIT1;protein_coding
ENSG00000002016;5,7107258011503;-0,290856115747919;0,447525913079909;-0,649920166066415;0,515743791257514;0,637607118619505;NA;NA;NA;RAD52;protein_coding
ENSG00000002330;187,056026628363;0,450275563174475;0,0949214663363045;4,7436642158388;2,0988664900843e-06;8,83280552912246e-06;NA;NA;NA;BAD;protein_coding
ENSG00000002549;86,7783398854158;0,3241898108783;0,210610205622331;1,53928823116788;0,123733945795364;0,203782290217754;NA;NA;NA;LAP3;protein_coding
ENSG00000002586;11696,9576279191;0,0982342717920067;0,0384973431017472;2,55171562183854;0,0107193972465298;0,0239923638755023;NA;NA;NA;CD99;protein_coding
ENSG00000002587;0,805532021890304;-1,58781634099326;2,94535682660103;-0,539091334079754;0,589823834845343;NA;NA;NA;NA;HS3ST1;protein_coding
ENSG00000002746;1,23726591607423;-1,47633936391554;2,94831279874316;-0,500740411446468;0,616553827594716;NA;NA;NA;NA;HECW1;protein_coding
ENSG00000002822;55,5134606360395;-0,161417118199585;0,145258195554429;-1,11124276040659;0,266463870077222;0,383495475075608;NA;NA;NA;MAD1L1;protein_coding
ENSG00000002834;1490,41650769495;0,764907659503102;0,0821123989094709;9,31537343521548;1,21524284752601e-20;2,23745848517984e-19;NA;NA;NA;LASP1;protein_coding
ENSG00000002919;25,5036810257444;-0,0434229664922393;0,169712512995196;-0,25586190273117;0,798057472828433;0,86291517638916;NA;NA;NA;SNX11;protein_coding
ENSG00000002933;0,340184179420117;-0,649097906947585;2,95116717103132;-0,219946166831596;0,825913080628073;NA;NA;NA;NA;TMEM176A;protein_coding
ENSG00000003056;629,081860212228;0,523966362355011;0,071167338538609;7,36245549031953;1,80557640642685e-13;1,58321798908697e-12;NA;NA;NA;M6PR;protein_coding
ENSG00000003096;36,7774509656742;0,853900113686752;0,288100314669521;2,96389858048665;0,00303768384550197;0,00768352226107715;NA;NA;NA;KLHL13;protein_coding
ENSG00000003137;1,72141504038706;-0,00363650900728947;2,9344626973946;-0,0012392418586606;0,999011228306954;NA;NA;NA;NA;CYP26B1;protein_coding
ENSG00000003147;410,385885955591;-0,741131089940487;0,088168156089313;-8,40588170166259;4,24659029220469e-17;5,31534589192522e-16;NA;NA;NA;ICA1;protein_coding
ENSG00000003249;0,844671038605643;-1,07537283699808;2,94219525245603;-0,36550016050104;0,714738087024036;NA;NA;NA;NA;DBNDD1;protein_coding
ENSG00000003393;74,311859409699;-0,174036220187453;0,116026852902279;-1,49996501528858;0,133623465046916;0,217223786768577;NA;NA;NA;ALS2;protein_coding
ENSG00000003400;4,42397845968315;1,08541532204031;0,579818731031756;1,87199078599767;0,0612078782610748;0,111818251165496;NA;NA;NA;CASP10;protein_coding
ENSG00000003402;1431,81023982041;0,257074848769792;0,0540156604998421;4,75926511665155;1,94299086364346e-06;8,21237471699969e-06;NA;NA;NA;CFLAR;protein_coding
